name,rating,price,restaurant_type,description,address
Les Rupins - Restaurant Parisien,"4,6",30–40 €,Restaurant,"Restaurant simple servant des plats européens classiques, y compris des burgers, des tartares, du gaspacho et des lasagnes.","35 Bd de Magenta, 75010 Paris"
LArchimede - Restaurant Bistronomique Paris 10,"4,8",30–50 €,Restaurant français,NaN,"11 Rue Marie et Louise, 75010 Paris"
Restaurant Mâche,"4,8",+ de 100 €,Restaurant gastronomique,Menus dégustation innovants et vins naturels proposés dans un espace chic à la décoration originale.,"61 Rue de Chabrol, 75010 Paris"
NooRi,"4,8",10–20 €,Restaurant de cuisine fusion asiatique,NaN,"20 Rue du Faubourg Saint-Martin, 75010 Paris"
La Petite Rose des Sables,"4,8",10–20 €,Restaurant,Tartare de bœuf ou poulet basquaise au menu d'un restaurant cosy aux murs de pierres et nappes vichy.,"6 Rue de Lancry, 75010 Paris"
Bouillon Julien,"4,1",20–30 €,Brasserie,Cuisine traditionnelle proposée dans un restaurant historique à la décoration Art nouveau élaborée.,"16 Rue du Faubourg Saint-Denis, 75010 Paris"
Chez Michel,"4,4",€€€,Restaurant français,Cuisine française raffinée aux accents internationaux proposée dans une brasserie rétro dotée d'une cave à vin.,"10 Rue de Belzunce, 75010 Paris"
La Petite Louise,"4,4",20–30 €,Restaurant,NaN,"65 Rue du Faubourg Saint-Martin, 75010 Paris"
Brasserie Bellanger,"4,7",20–30 €,Restaurant,"Restaurant romantique et pittoresque doté de tables en terrasse, proposant des plats et desserts locaux maison ainsi que du vin.","140 Rue du Faubourg Poissonnière, 75010 Paris"
Fellows - Restaurant Paris 10,"4,8",10–20 €,Restaurant,NaN,"84 Rue du Faubourg Saint-Denis, 75010 Paris"
La Bécane à Gaston,"4,6",€€,Restaurant français,Restaurant à l'ambiance détendue et au cadre intimiste proposant une cuisine traditionnelle à l'approvisionnement responsable.,"24 Rue Lucien Sampaix, 75010 Paris"
Restaurant 52,"4,3",€€,Restaurant français,Restaurant convivial avec terrasse proposant une cuisine innovante et haut de gamme dans un cadre minimaliste.,"52 Rue du Faubourg Saint-Denis, 75010 Paris"
Les Enfants Perdus,"4,6",€€,Restaurant français,"Restaurant chic proposant des formules pour le déjeuner et un brunch le week-end, avec des plats de brasserie classiques et du vin.","9 Rue des Récollets, 75010 Paris"
P'tite Bougnate,"4,2",10–20 €,Restaurant français,"Café fonctionnel avec terrasse, proposant des plats traditionnels, des desserts et des cocktails.","85 Bd de Magenta, 75010 Paris"
Vendredi Soir,"4,6",20–40 €,Restaurant,NaN,"140 Rue du Faubourg Saint-Martin, 75010 Paris"
Almydan - Restaurant libanais Paris 10,"4,8",10–20 €,Restaurant libanais,NaN,"160 Rue du Faubourg Poissonnière, 75010 Paris"
Le Robinet d'Or Restaurant & Bar Canal Saint Martin,"4,6",20–30 €,Restaurant français,NaN,"7 Rue Eugène Varlin, 75010 Paris"
Pouliche - Amandine Chaignot,"4,6",€€€,Restaurant français,"Restaurant orné d'œuvres d'art servant un menu à prix fixe à base de produits de qualité, accompagné de cocktails et de vins.","11 Rue d'Enghien, 75010 Paris"
Les Parigots République - Restaurant Paris 10 eme,"4,4",20–30 €,Restaurant français,Plats français traditionnels dans une brasserie dotée de détails rétro et d'une grande table en chêne massif.,"5 Rue du Château d'Eau, 75010 Paris"
La Marine,"4,4",20–40 €,Restaurant français,"Bistrot richement décoré sur les quais proposant des plats traditionnels (escargots, steaks) et des menus pour le déjeuner.","55Bis Quai de Valmy, 75010 Paris"
