name,rating,price,restaurant_type,description,address
Le Paris Paris,"4,4",€€,Restaurant,NaN,"8 Rue de Montfaucon, 75006 Paris"
Le Paris Paris,"4,4",€€,Restaurant,NaN,"8 Rue de Montfaucon, 75006 Paris"
Brasserie Des Prés,"4,6",20–40 €,Restaurant français,NaN,"6 Cr du Commerce Saint-André, 75006 Paris"
Didon,"4,7",NaN,Restaurant gastronomique,"Restaurant à l'ambiance décontractée et au cadre chic et simple, spécialisé dans les grillades au charbon de bois.","8 Rue du Dragon, 75006 Paris"
L'Atelier Roulière,"4,6",€€,Restaurant,"Escargots, tartares de boeuf, steak et longue liste de vin proposés dans une brasserie chic décorée dans des tons riches de bleu.","24 Rue des Canettes, 75006 Paris"
Georgette,"4,7",€€,Restaurant français,Restaurant élégant servant des plats français classiques de saison dans une salle chic ou en terrasse.,"44 Rue d'Assas, 75006 Paris"
SHIRO | Restaurant Franco Japonais Fusion,"4,6",+ de 100 €,Restaurant français,NaN,"168 Bd Saint-Germain, 75006 Paris"
Alcazar,"4,2",€€€,Restaurant,"Restaurant chic agrémenté de plantes servant des plats et des desserts locaux originaux, ainsi que des cocktails uniques.","62 Rue Mazarine, 75006 Paris"
CAMILA,"4,4",€€,Restaurant,"Brasserie de style décontracté dotée de poutres anciennes et de grandes fenêtres, servant plats créatifs français et internationaux.","5 Rue Mabillon, 75006 Paris"
Marcello,"4,5",€€€,Restaurant italien,"Pâtes, fruits de mer et autres plats italiens servis dans un restaurant convivial à l'ambiance rustique chic.","8 Rue Mabillon, 75006 Paris"
La Diva-des-Prés,"4,3",NaN,Restaurant,"Restaurant lounge romantique doté de meubles aux tons roses, d'une décoration florale luxuriante et d'une terrasse.","79 Rue de Seine, 75006 Paris"
Restaurant Aux Perchés,"4,8",NaN,Restaurant français,NaN,"25 Rue Servandoni, 75006 Paris"
La Boussole,"4,3",30–40 €,Restaurant français,"Classiques locaux, plats internationaux et desserts populaires proposés dans un restaurant cosy doté de murs en pierres apparentes.","12 Rue Guisarde, 75006 Paris"
Au Père Louis (Bar à Vins Paris - Saint Germain des Prés Paris 6),"4,3",€€,Restaurant français,"Charmant restaurant/bar à vin à l'angle d'une rue, proposant des spécialités françaises comme la soupe à l'oignon et les escargots.","38 Rue Monsieur le Prince, 75006 Paris"
"Huguette, Bistro de la mer","4,4",NaN,Restaurant,"Brasserie élégante avec façade ouverte sur la rue et terrasse, servant plats de poissons/fruits de mer, poke bowls et apéritifs.","81 Rue de Seine, 75006 Paris"
Semilla,"4,5",€€€,Cuisine française moderne,Cuisine française contemporaine et sophistiquée aux accents méditerranéens dans une salle dotée de briques et de conduits apparents.,"54 Rue de Seine, 75006 Paris"
Restaurant Du Sénat,"4,5",50–60 €,Restaurant,NaN,"ter, 15 bis Rue de Vaugirard, 75006 Paris"
Source Restaurant,"4,8",+ de 100 €,Restaurant,NaN,"17 Rue Grégoire de Tours, 75006 Paris"
Bouillon Racine,"4,2",€€€,Restaurant français,"Menu de saison composé de classiques raffinés, proposé dans un restaurant rénové de style Art nouveau doté d'une grande cave à vin.","3 Rue Racine, 75006 Paris"
Aux Prés Cyril Lignac,"4,2",€€,Restaurant français,Plats de brasserie raffinés à base de viande dans un restaurant cosy et traditionnel géré par un chef star de la télévision.,"27 Rue du Dragon, 75006 Paris"
