name,rating,price,restaurant_type,description,address
Le Paris 17,"4,7",€€,Restaurant français,Plats français traditionnels dans une brasserie cosy au charme d'antan décorée d'affiches vintage.,"41 Rue Guersant, 75017 Paris"
Le Paris 17,"4,7",€€,Restaurant français,Plats français traditionnels dans une brasserie cosy au charme d'antan décorée d'affiches vintage.,"41 Rue Guersant, 75017 Paris"
Les Demoiselles Restaurant Paris 17,"4,5",€€,Restaurant français,"Dotée d'une terrasse, cette brasserie de style années 1950 à l'ambiance rétro sert des plats français toute la journée.","23 Rue Léon Jost, 75017 Paris"
Restaurant La Table du Caviste bio Paris 17,"4,7",NaN,Restaurant,NaN,"55 Rue de Prony, 75017 Paris"
Le P'tit Bougnat,"4,3",€€,Restaurant français,"Restaurant cosy et original proposant cuisine française typique, plats à base de viande et vin.","118 Bd de Courcelles, 75017 Paris"
Le P'tit Bougnat,"4,3",€€,Restaurant français,"Restaurant cosy et original proposant cuisine française typique, plats à base de viande et vin.","118 Bd de Courcelles, 75017 Paris"
Break | Restaurant Paris 17 | Terrasse | Brunch Paris,"4,4",20–30 €,Restaurant,NaN,"119 Bd Pereire, 75017 Paris"
Madame FAN,"4,6",€€,Restaurant chinois,Mets fusion franco-asiatiques raffinés et saké dans un restaurant tendance aux murs ornés de fresques colorées.,"18 Rue Bayen, 75017 Paris"
Chez Gabrielle,"4,7",€€,Restaurant français,"Foie gras, tartares, moules, steaks et large choix de vins proposés dans un restaurant chic doté d'une terrasse.","7 Rue de l'Étoile, 75017 Paris"
Le Général,"4,0",€€€,Restaurant,Café-brasserie élégant à proximité de l'Arc de triomphe avec terrasse prisée pour prendre le petit-déjeuner ou un dîner tardif.,"17 Av. de Wagram, 75017 Paris"
Au Petit Paris,"4,7",40–50 €,Restaurant croate,NaN,"32 Rue Rennequin, 75017 Paris"
Le Diplomate Paris 17,"4,4",€€,Restaurant,"Brasserie contemporaine, chic et colorée avec terrasse proposant des plats du terroir aux accents auvergnats.","110 Bd de Courcelles, 75017 Paris"
Le Bistrot d'Yves,"4,7",30–40 €,Restaurant,Interprétations modernes de plats de foie gras et de steaks tartares classiques. Restaurant populaire à la décoration simple.,"33 Rue Cardinet, 75017 Paris"
Champotes,"4,9",NaN,Restaurant,NaN,"3 Vla Berthier, 75017 Paris"
Vive Restaurant,"4,4",+ de 100 €,Restaurant de poisson,NaN,"62 Av. des Ternes, 75017 Paris"
