name,rating,price,restaurant_type,description,address
Restaurant Étude Paris 16,"4,6",+ de 100 €,Restaurant,Restaurant gastronomique à l'approvisionnement responsable proposant des plats français contemporains et végans pour certains.,"14 Rue du Bouquet de Longchamp, 75116 Paris"
Le Bois,"4,3",20–40 €,Restaurant français,"Adaptée aux familles, cette brasserie branchée avec une terrasse est prisée pour sa salade César, ses burgers et sa crème caramel.","29 Rue Bois le Vent, 75016 Paris"
Le Paris Seize,"4,6",€€,Restaurant,"Dans un cadre décontracté et familial, restaurant à l'ambiance de bistrot italien pour des plats typiques.","18 Rue des Belles Feuilles, 75116 Paris"
XVIe Avenue,"3,8",20–30 €,Restaurant français,"Brasserie rétro élégante dotée d'une terrasse, servant des steaks, des escargots et d'autres classiques.","45 Av. Raymond Poincaré, 75016 Paris"
Restaurant Marcel 16,"4,4",20–30 €,Restaurant,Petit restaurant doté de murs en pierres apparentes et de banquettes colorées servant des saveurs américaines.,"15 Rue Mesnil, 75116 Paris"
Bon,"4,2",€€€,Restaurant,Restaurant chic proposant une cuisine fusion franco-asiatique et des desserts dans un espace clair doté de plafonds voûtés.,"25 Rue de la Pompe, 75116 Paris"
Substance,"4,5",+ de 100 €,Restaurant gastronomique,Cuisine novatrice proposant des accords savoureux de mets et vins dans un cadre contemporain.,"18 Rue de Chaillot, 75116 Paris"
CHEZ TONY bistrot français PARIS 16 La Muette,"4,6",30–40 €,Restaurant français,NaN,"34 Rue Bois le Vent, 75016 Paris"
Restaurant 16 avenue,"2,3",NaN,Restaurant français,NaN,"Rue Saint-Didier, 75116 Paris"
SOGNO PARIS,"4,8",NaN,Restaurant italien,NaN,"42 Rue de l'Amiral Hamelin, 75016 Paris"
DAROCO 16,"4,2",€€€,Restaurant italien,"Restaurant élégant servant des plats italiens classiques (pâtes, risotto, pizzas cuites au feu de bois, etc.).","3 Pl. Clément Ader, 75016 Paris"
LA TERRASSE,"4,4",10–20 €,Restaurant italien,"Brasserie à l'ambiance bohème avec terrasse, proposant tapas et plats italiens classiques, ainsi qu'un large choix de boissons.","5 Pl. de Barcelone, 75016 Paris"
Numéro 41,"4,4",20–40 €,Restaurant,Cadre chaleureux avec carrelage ancien pour ce restaurant servant une cuisine française traditionnelle.,"41 Av. Mozart, 75016 Paris"
Les Filaos – Restaurant Réunionnais & Mauricien - Paris 16,"4,3",€€,Restaurant créole,"Dans une salle sobre et élégante, une cuisine familiale de l'Île Maurice alliant exotisme et modernité.","5 Rue Guy de Maupassant, 75116 Paris"
Tse Yang - Restaurant Gastronomique Chinois Paris 16,"4,0",NaN,Restaurant chinois,"Mets chinois raffinés servis dans un décor contemporain et distingué en noir et blanc, à l'éclairage tamisé.","25 Av. Pierre 1er de Serbie, 75116 Paris"
Le Petit Rétro,"4,4",€€€,Bistro,Restaurant décoré dans un style Art nouveau avec de la faïence d'époque et qui sert des plats traditionnels.,"5 Rue Mesnil, 75116 Paris"
NaN,NaN,NaN,NaN,NaN,NaN
Le Relais du Bois,"4,6",30–40 €,Restaurant français,"Somptueux restaurant établi de longue date, proposant des plats traditionnels comme des moules et une tarte Tatin maison.","1 Rue Guy de Maupassant, 75116 Paris"
Chez les frisheurs,"4,3",20–30 €,Restaurant français,NaN,"22 Rue de Bassano, 75116 Paris"
Restaurant Alan Geaam,"4,8",+ de 100 €,Restaurant gastronomique,Restaurant simple et élégant proposant une cuisine française créative aux influences libanaises ainsi que des accords mets et vins.,"19 Rue Lauriston, 75016 Paris"
