name,rating,price,restaurant_type,description,address
Au Bourguignon du Marais,"4,6",€€,Restaurant français,"Escargots, bœuf bourguignon et autres plats traditionnels de Bourgogne servis dans un restaurant élégant.","52 Rue François Miron, 75004 Paris"
Le Colimaçon Marais,"4,6",€€,Restaurant français,Version créative des plats de brasserie française dans un cadre chaleureux avec murs en pierre brute et poutres en bois.,"44 Rue Vieille du Temple, 75004 Paris"
Salento Marais,"4,6",20–30 €,Restaurant italien,"Antipasti, pâtes et plats italiens à la présentation soignée servis dans un restaurant élégant de style rétro chic avec terrasse.","6 Rue de Jarente, 75004 Paris"
Le Trésor,"4,1",€€,Restaurant français,Restaurant pittoresque de cuisine française raffinée avec coin salon extérieur et bar à cocktails animés.,"9 Rue du Trésor, 75004 Paris"
Au Vieux Paris,"4,4",20–30 €,Restaurant français,NaN,"6 Rue Mornay, 75004 Paris"
Chez Mademoiselle,"4,6",€€,Restaurant français,"Restaurant sobre avec terrasse servant des spécialités locales, dont des plats de poissons, fruits de mer et viande, ainsi que du vin.","16 Rue Charlemagne, 75004 Paris"
Bistrot de l’Oulette,"4,5",€€,Restaurant français,"Petit bistrot classique proposant ragoûts, poissons, fruits de mer et plats à base de canard du Sud-Ouest de la France.","38 Rue des Tournelles, 75004 Paris"
La Réserve Du Terroir - Restaurant Paris 4,"4,6",20–30 €,Restaurant,"Brasserie chaleureuse de style décontracté proposant cassolettes d'escargots, entrecôtes et autres plats traditionnels.","13 R. Quincampoix, 75004 Paris"
GrandCœur,"4,4",€€€,Restaurant français,NaN,"41 Rue du Temple, 75004 Paris"
Chez Julien,"4,0",€€€,Restaurant français,"Brasserie chic à la décoration élégante dotée d'une terrasse, proposant petit-déjeuner, plats principaux, desserts et vins raffinés.","1 Rue du Pont Louis-Philippe, 75004 Paris"
L'hirondelle - Paris 4,"4,8",20–30 €,Restaurant français,NaN,"42 Bd Henri IV, 75004 Paris"
Chez Margot,"4,4",20–30 €,Restaurant français,"Brasserie française traditionnelle avec terrasse couverte retransmettant des événements sportifs, spécialisé dans le bœuf salers.","25 Bd Henri IV, 75004 Paris"
Loulou,"4,1",20–30 €,Bistro,Tajines nord-africains servis dans une brasserie richement décorée avec terrasse et concerts de jazz.,"63 Rue Rambuteau, 75004 Paris"
Les Mauvais Garçons,"4,3",€€,Restaurant,Spécialités lyonnaises dans un cadre de bistrot ancien à l'éclairage tamisé et aux banquettes en velours.,"4 Rue des Mauvais Garçons, 75004 Paris"
Le Chanard,"4,7",€€,Restaurant français,Restaurant intimiste doté d'une petite terrasse et d'un intérieur cosy servant des entrées françaises classiques et des steaks.,"8 Rue Saint-Paul, 75004 Paris"
Resto Beyrouth,"4,6",10–20 €,Restaurant libanais,NaN,"4 Rue Saint-Merri, 75004 Paris"
Les Fous de l'Ile,"4,3",€€,Restaurant français,Cuisine traditionnelle dans une brasserie moderne à l'ambiance détendue décorée d'objets et de tableaux en lien avec la poule.,"33 Rue des Deux Ponts, 75004 Paris"
Le Trumilou,"4,4",20–40 €,Restaurant français,"Steaks, cuisine de saison et plats populaires servis dans un restaurant classique aux touches rétro.","84 Quai de l'Hôtel de ville, 75004 Paris"
BISTROT MARGUERITE,"4,1",10–30 €,Brasserie,"Steaks, burgers, soupe à l'oignon et cocktails servis dans un bistrot d'angle à l'ambiance détendue, avec terrasse côté rue.","1 Pl. de l'Hôtel de Ville, 75004 Paris"
L'Alsacien Châtelet - Restaurant / Bar à Flammekueche,"4,6",10–20 €,Restaurant de spécialités alsaciennes,"Salle de jeux, cadre cosy et pierres apparentes pour ce bar à flammekueche servant aussi des vins alsaciens.","6 Rue Saint-Bon, 75004 Paris"
