name,rating,price,restaurant_type,description,address
Le Jéroboam,"4,8",€€,Restaurant français,Cuisine créative de bistrot français aux influences du monde entier dans une brasserie pittoresque à la décoration colorée.,"72 Rue Didot, 75014 Paris"
Chez Papa,"4,3",20–30 €,Restaurant français,"Spécialités traditionnelles du Sud-Ouest dans une atmosphère populaire, autour de tables en bois d'auberge.","6 Rue Gassendi, 75014 Paris"
Restaurant 14 Juillet,"4,5",20–30 €,Restaurant français,"Restaurant cosy proposant des terrines, des profiteroles et d'autres classiques accompagnés d'un large choix de vins.","99 Rue Didot, 75014 Paris"
L’Essentiel - Restaurant Paris 14,"4,3",20–30 €,Bistro,Ce bistrot aux touches industrielles propose plats de saison ou canailles dans un cadre intimiste et animé.,"168 Rue d'Alésia, 75014 Paris"
Buffalo Grill Paris 14,"4,1",20–30 €,Restaurant,"Chaîne de restaurants spécialisés en grillades et burgers, au décor de far west et à l’ambiance familiale.","117 Av. du Général Leclerc, 75014 Paris"
Le Bistrot des Campagnes,"4,4",€€,Restaurant français,"Viandes, plateaux de fromages, menus fixes et carte des vins dans un restaurant lambrissé vintage.","6 Rue Léopold Robert, 75014 Paris"
Assanabel Paris - Alésia,"4,7",€€,Restaurant libanais,"Élégant restaurant sur deux niveaux proposant mezzés, brochettes grillées et baklavas, avec vins libanais et français.","6 Rue d'Alésia, 75014 Paris"
L'EMPREINTE,"4,6",€€,Restaurant français,Plats traditionnels français revisités de façon raffinée et menus fixes servis dans un restaurant élégant et moderne.,"5 Rue Mouton-Duvernet, 75014 Paris"
restaurant A MI-CHEMIN Paris 14 ème,"3,7",NaN,Restaurant français,"Plats saisonniers de brasserie aux saveurs tunisiennes, ainsi que couscous et grande carte des vins dans un cadre intimiste.","31 Rue Boulard, 75014 Paris"
Félicie,"4,4",20–30 €,Bistro,"Viandes, tartare, cocktails et brunch le weekend proposés dans une élégante brasserie avec terrasse côté rue.","174 Av. du Maine, 75014 Paris"
La Verrière PARIS,"4,6",NaN,Restaurant français,Restaurant d'hôtel haut de gamme proposant des plats français d'inspiration japonaise et un buffet pour le brunch du dimanche.,"4 Rue Niépce, 75014 Paris"
Le Petit Baigneur,"4,6",20–30 €,Restaurant français,"Escargots, plats de steak et autres classiques dans une brasserie au charme d'antan, avec des posters vintages et une décoration kitsch.","10 Rue de la Sablière, 75014 Paris"
L'Assiette,"4,6",€€,Restaurant français,"Cuisine du terroir (dont cassoulet, terrines et gibier) servie dans un restaurant doté d'un plafond richement décoré et de miroirs.","181 Rue du Château, 75014 Paris"
Basilic Thaï - Restaurant Paris 14,"4,7",10–20 €,Restaurant thaï,NaN,"98 Bd du Montparnasse, 75014 Paris"
Le Cornichon - Maison fondée en 2011,"4,5",€€,Restaurant français,Ce bistrot sert dans une salle aux tons sombres rehaussés de peintures colorées des mets raffinés de saison.,"34 Rue Gassendi, 75014 Paris"
Restaurant La Cantine du Troquet Daguerre,"4,5",30–40 €,Restaurant français,"Restaurant de chaîne simple doté d'une terrasse, proposant des plats, des desserts et des vins raffinés.","89 Rue Daguerre, 75014 Paris"
Les Artistes,"4,5",20–30 €,Restaurant français,"Restaurant sobre avec terrasse proposant spécialités locales dont poisson, fruits de mer, plats de viande et planches de charcuterie.","60 Rue Didot, 75014 Paris"
Le Saut du Crapaud,"4,6",€€,Restaurant français,"Plats fusion franco-mexicains aux noms originaux et à la présentation soignée, servis dans une brasserie colorée et cosy.","16 Rue des Plantes, 75014 Paris"
Kigawa,"4,8",+ de 100 €,Restaurant français,"Spécialités françaises raffinées cuisinées par un chef japonais et servies dans un décor chic, sobre et clair.","186 Rue du Château, 75014 Paris"
Aux Plumes,"4,7",NaN,Restaurant,Restaurant simple et intimiste proposant des menus franco-asiatiques originaux à prix fixe ainsi que des vins bio.,"45 Rue Boulard, 75014 Paris"
