name,rating,price,restaurant_type,description,address
Le Relais Gascon montmartre paris18e,"4,3",20–30 €,Restaurant français,"Restaurant traditionnel doté d'une terrasse, servant des plats maison du Sud-Ouest de la France.","13 Rue Joseph de Maistre, 75018 Paris"
Au Clair de la Lune,"4,2",20–30 €,Restaurant,"Restaurant pittoresque et original avec terrasse, servant des plats de brasserie tels que soupe à l'oignon et magret de canard.","9 Rue Poulbot, 75018 Paris"
Chez Plumeau,"4,1",€€,Restaurant,"Plats traditionnels comme escargots, soupe à l'oignon et grillades de viande servis sur une terrasse verdoyante ou dans des salles à manger cosy.","4 Pl. du Calvaire, 75018 Paris"
Au Clair de la Lune,"4,2",20–30 €,Restaurant,"Restaurant pittoresque et original avec terrasse, servant des plats de brasserie tels que soupe à l'oignon et magret de canard.","9 Rue Poulbot, 75018 Paris"
Le Gabin,"4,2",20–30 €,Restaurant français,NaN,"25 Rue Lambert, 75018 Paris"
Le 975 - Restaurant Paris 18,"4,8",20–30 €,Restaurant français,Petite brasserie sobre à la façade vitrée proposant menus de dégustation avec plats internationaux créatifs.,"185 Rue Marcadet, 75018 Paris"
Chez Rita et Claudio,"4,7",10–20 €,Restaurant italien,"Restaurant italien rustique doté d'une terrasse, proposant des pizzas, des pâtes, des sandwichs, des desserts et du vin.","70 Rue du Mont-Cenis, 75018 Paris"
Mamie Colette,"4,7",20–30 €,Restaurant français,NaN,"17 Rue des Trois Frères, 75018 Paris"
Bistro L'Olivier,"4,8",30–40 €,Restaurant,"Plats traditionnels copieux, desserts et vins proposés dans un restaurant au mobilier chaleureux doté d'une terrasse.","88 Rue Ordener, 75018 Paris"
Le Petit Moulin,"4,6",20–30 €,Restaurant français,"Restaurant intimiste de style décontracté proposant des plateaux de charcuterie et de fromage, ainsi que des desserts et du vin.","17 Rue Tholozé, 75018 Paris"
Chez Zena,"4,6",10–20 €,Restaurant,NaN,"1 Rue Dancourt, 75018 Paris"
Aux Dés Calés 18 - Moreau,"4,6",20–30 €,Restaurant,NaN,"11 Rue Hégésippe-Moreau, 75018 Paris"
Bel-Ami,"4,1",€€,Restaurant californien,NaN,"128 Bd de Clichy, 75018 Paris"
Le Grand Phénicien,"4,4",20–30 €,Restaurant libanais,NaN,"4 Rue Caulaincourt, 75018 Paris"
Creme Restaurant,"4,9",NaN,Restaurant français,NaN,"18 Rue Eugène Sue, 75018 Paris"
La Couvée Montmartre,"4,8",NaN,Restaurant français,NaN,"32 Rue Véron, 75018 Paris"
Cocotte et Tire-Bouchon,"4,9",30–40 €,Restaurant,NaN,"184 Rue Marcadet, 75018 Paris"
Les Inséparables,"4,8",20–30 €,Restaurant,NaN,"12 Rue Francœur, 75018 Paris"
Restaurant Les Carrières,"4,6",20–30 €,Restaurant français,Bistro à l’air décontracté qui sert des plats classiques accompagnés par des vins de petits producteurs.,"14 Rue Simart, 75018 Paris"
Au Relais,"4,5",20–30 €,Restaurant français,"Bistrot au cadre artistique doté d'une terrasse et proposant des plats traditionnels, des burgers et des steaks.","48 Rue Lamarck, 75018 Paris"
