name,rating,price,restaurant_type,description,address
19 darù,"4,0",30–40 €,Restaurant italien,"Restaurant intime, décorée de toiles vives par la propriétaire, qui propose des plats italiens traditionnels.","19 Rue Daru, 75008 Paris"
Trois B,"4,7",NaN,Restaurant,"Bistrot à l'ambiance détendue servant des plats du jour, vins bio et bières locales dans une salle chaleureuse et lumineuse.","48 Av. Jean Jaurès, 75019 Paris"
Mensae,"4,5",€€,Restaurant,"Restaurant chic avec des spécialités françaises raffinées, des assiettes à partager et du vin dans un cadre moderne et minimaliste.","23 Rue Melingue, 75019 Paris"
SYMPHONY | Restaurant Italien | Restaurant Villette | Restaurant Paris 19,"4,6",20–30 €,Restaurant italien,NaN,"25 Sente des Dorées, 75019 Paris"
Au Comptoir Du Temps café,"4,6",20–30 €,Restaurant,NaN,"35 Av. Corentin Cariou, 75019 Paris"
Le passage à niveau,"4,4",20–30 €,Restaurant,Plats et petites portions de saison servis dans un restaurant lumineux doté d'une terrasse et de potagers.,"2A Rue de l'Ourcq, 75019 Paris"
Simonetta,"4,5",20–30 €,Restaurant italien,"Plats italiens classiques comme les pâtes et les pizzas, servis dans une salle à manger élégante décorée de plantes suspendues.","32 Quai de la Marne, 75019 Paris"
Chez Arnaud,"4,4",20–30 €,Restaurant,NaN,"16 Rue Eugène Jumin, 75019 Paris"
Chez JJ,"4,7",20–30 €,Restaurant,NaN,"174 Av. Jean Jaurès, 75019 Paris"
Les Bancs Publics,"4,5",20–30 €,Restaurant,"Grands classiques de brasserie (steak-frites, par exemple) servis dans un restaurant lumineux doté d'une terrasse en bord de canal.","2 Rue de Nantes, 75019 Paris"
Jeannette,"4,7",20–30 €,Restaurant,NaN,"143 Av. Jean Jaurès, 75019 Paris"
Paname Brewing Company,"4,3",20–30 €,Microbrasserie,Cuisine et bières internationales servies dans une microbrasserie simple dotée d'une terrasse avec vue sur le canal.,"41 bis Quai de la Loire, 75019 Paris"
Aux Arts et Sciences Réunis,"4,3",20–30 €,Restaurant français,Restaurant à la décoration foisonnante composée de portraits et d'objets scientifiques pour une cuisine fine.,"161 Av. Jean Jaurès, 75019 Paris"
La Violette,"4,2",€€€,Restaurant,Menus dégustation créatifs avec accords mets et vins et plats à la carte dans un cadre sophistiqué.,"11 Av. Corentin Cariou, 75019 Paris"
Restaurant Quedubon,"4,6",€€,Restaurant français,Parquet brut et murs gris et rouges ornent ce bar servant une cuisine française classique et des vins de pays.,"22 Rue du Plateau, 75019 Paris"
L'Atlantide,"4,5",20–30 €,Restaurant de spécialités d'Afrique du Nord,Une cuisine berbère proposée dans une salle au décor authentique ornée de tapis et de lampes nord-africaines.,"07 Av. de Laumière, 75019 Paris"
Buono Sano Bello,"4,5",20–30 €,Restaurant italien,Ce petit restaurant aux pierres apparentes propose des spécialités italiennes comme des pâtes fraîches maison.,"14 Rue de la Villette, 75019 Paris"
Le Napoléon III,"4,0",€€,Brasserie,"Restaurant/bar raffiné au charme d'époque, doté d'une terrasse côté rue et proposant des plats simples et des cocktails.","1 Pl. Armand Carrel, 75019 Paris"
Le Bastringue,"4,4",20–30 €,Bistro,Cuisine et boissons de brasserie parisienne classique dans un restaurant établi de longue date avec terrasse au bord du canal.,"67 Quai de la Seine, 75019 Paris"
Sunny,"4,3",20–30 €,Restaurant,"Petits-déjeuners sucrés et salés, plats légers pour le déjeuner, salades et pâtisseries dans un cadre moderne.","84 Av. Secrétan, 75019 Paris"
