name,rating,price,restaurant_type,description,address
750g la table I Porte de Versailles,"4,6",20–30 €,Restaurant français,Brasserie animée servant des plats et des vins français. Les portes en accordéon s'ouvrent pour laisser entrer l'extérieur.,"397 Rue de Vaugirard, 75015 Paris"
Le Relais du 15ème,"4,7",20–30 €,Restaurant italien,NaN,"78 Av. Emile Zola, 75015 Paris"
L'Antre Amis,"4,6",€€,Restaurant français,"Tapas raffinées, menus fixes et large choix de vins proposés dans un restaurant élégant doté de tables en extérieur.","9 Rue Bouchut, 75015 Paris"
L'Antre Amis,"4,6",€€,Restaurant français,"Tapas raffinées, menus fixes et large choix de vins proposés dans un restaurant élégant doté de tables en extérieur.","9 Rue Bouchut, 75015 Paris"
L'Ardoise du XV,"4,4",40–50 €,Restaurant français,Menus fixes composés de plats français revisités de façon créative dans un espace élégant et minimaliste inspiré des années 1960.,"70 Rue Sébastien Mercier, 75015 Paris"
Harper's Paris 15,"4,8",20–30 €,Restaurant français,NaN,"46 Bis Bd du Montparnasse, 75015 Paris"
Le CasseNoix,"4,7",€€,Restaurant français,Menu renouvelé de plats de style brasserie française et de vins dans un cadre rétro pittoresque avec terrasse côté rue.,"56 Rue de la Fédération, 75015 Paris"
Bistrot Chic,"4,6",€€€,Restaurant,"Plats français, dont produits de la mer, dans un lieu moderne aux teintes douces évoquant la nature et la mer.","54 Av. Félix Faure, 75015 Paris"
La Véraison,"4,8",€€,Restaurant français,"Plats français créatifs à base de viande, poisson et légumes dans un cadre coloré de style décontracté.","64 Rue de la Croix Nivert, 75015 Paris"
L'Armandie - Restaurant Fruits de Mer Paris 15,"3,8",€€,Restaurant de fruits de mer,"Inauguré en 1932, cet élégant restaurant doté d'une terrasse est réputé pour ses plats de poissons et de fruits de mer raffinés.","2 bis Rue Pétel, 75015 Paris"
Joya,"4,7",20–30 €,Restaurant italien,NaN,"47 Rue St Charles, 75015 Paris"
Le Bélisaire,"4,7",€€,Restaurant français,"Plats préparés avec les produits de saison du marché, proposés dans un restaurant au charme d'antan.","2 Rue Marmontel, 75015 Paris"
La Petite Auberge,"4,6",NaN,Restaurant,"Restaurant traditionnel français sobre et chaleureux, ex-QG des joueurs du Racing Club de France de Rugby.","13 Rue du Hameau, 75015 Paris"
PAVILLON Paris 15,"4,4",20–30 €,Restaurant français,NaN,"53B Av. de la Motte-Picquet, 75015 Paris"
Neige d'été,"4,6",+ de 100 €,Restaurant français,"Menus dégustation composés de plats axés sur les produits de la mer élégamment présentés, servis dans une salle à manger sobre chic.","12 Rue de l'Amiral Roussin, 75015 Paris"
AlKaram Paris 75015,"4,8",30–40 €,Restaurant libanais,"Doté de panneaux de bois et décoré de tableaux, ce restaurant élégant propose des spécialités libanaises.","15 Rue Ferdinand Fabre, 75015 Paris"
Restaurant Pilgrim.,"4,6",+ de 100 €,Restaurant français,Restaurant gastronomique proposant des menus dégustation créatifs ainsi que des accords mets et vins dans un cadre épuré.,"8 Rue Nicolas Charlet, 75015 Paris"
L'Insoumise,"4,7",€€,Restaurant français,"Restaurant à l'élégante devanture, pour une cuisine traditionnelle maison servie dans un décor épuré.","15 Rue Auguste Chabrières, 75015 Paris"
De La Tour,"4,8",NaN,Restaurant,Cuisine française classique et vins proposés dans une brasserie de famille populaire dotée de parquet et de nappes blanches.,"6 Rue Desaix, 75015 Paris"
L'Inattendu,"4,5",50–60 €,Restaurant gastronomique,Plats français réinventés et large choix de vins proposés dans un restaurant élégant et sobre.,"99 Rue Blomet, 75015 Paris"
