name,rating,price,restaurant_type,description,address
Le Rey - Restaurant Paris 11,"3,9",20–30 €,Restaurant français,"Plats classiques de brasserie, comme le steak-frites et les assiettes de charcuterie, dans une salle confortable aux murs en lambris.","130 Rue de la Roquette, 75011 Paris"
Qui plume la lune,"4,7",+ de 100 €,Restaurant français,"Menus fixes de mets français innovants accompagnés de vin, proposés dans un restaurant haut de gamme élégant.","50 Rue Amelot, 75011 Paris"
Les Petits Papiers,"4,6",30–40 €,Restaurant français,Ce petit bistrot moderne orné de tons rouges propose une cuisine fine dans une atmosphère chaleureuse.,"18 Rue Oberkampf, 75011 Paris"
Pierre Sang,"4,5",€€,Restaurant,"Une décoration claire, épurée et conviviale de style industriel pour un menu unique cosmopolite et raffiné.","55 Rue Oberkampf, 75011 Paris"
Les Cuivres - Restaurant Paris 11,"4,6",20–40 €,Restaurant,NaN,"68 Av. de la République, 75011 Paris"
Laïa,"4,8",NaN,Restaurant,"Restaurant élégant et isolé proposant des plats méditerranéens, une terrasse et un jardin verdoyant.","226 Bd Voltaire, 75011 Paris"
Brasserie Martin,"4,6",20–30 €,Restaurant français,"Élégant restaurant avec terrasse, proposant un menu copieux de plats classiques de saison dans une ambiance chaleureuse.","24 Rue Saint-Ambroise, 75011 Paris"
Eunoé,"4,8",NaN,Restaurant,NaN,"6 Rue Rochebrune, 75011 Paris"
Cavalier.,"4,6",NaN,Restaurant géorgien,Repas de type brasserie et cocktails classiques servis dans un espace de style rustique à l'ambiance détendue.,"22 Rue du Faubourg du Temple, 75011 Paris"
Melt Oberkampf,"4,7",20–30 €,Restaurant de viande,"Plateaux de viande fumée, grillades et hamburgers servis dans un restaurant rustique aux intérieurs en bois et en briques.","74 Rue de la Folie Méricourt, 75011 Paris"
Onze À Table,"4,7",NaN,Restaurant,Cuisine traditionnelle rustique et cocktails originaux proposés dans un espace simple et chaleureux.,"10 Rue de la Folie Méricourt, 75011 Paris"
L'Acolyte de l'Insolite,"4,8",20–30 €,Restaurant,"Bistrot cosy proposant des menus à prix fixe évoluant au fil des saisons, et des vins naturels.","49 Rue de la Folie Méricourt, 75011 Paris"
EDK ( Étoile du Kashmir 11ème),"4,0",10–20 €,Restaurant indien,Spécialités indiennes et ambiance feutrée caractérisent ce restaurant traditionnel aux touches chaleureuses.,"63 Rue de Charonne, 75011 Paris"
Restaurant les Fabricants,"4,5",20–30 €,Restaurant,"Brasserie à l'ambiance décontractée, proposant du vin et mettant en valeur des recettes du sud-ouest de la France.","61 Rue Jean-Pierre Timbaud, 75011 Paris"
Restaurant Korus,"4,7",+ de 100 €,Restaurant français,"Formules fixes raffinées pour le déjeuner, menus dégustation le soir et vins naturels dans un cadre élégant.","73 Rue Amelot, 75011 Paris"
