name,rating,price,restaurant_type,description,address
Restaurant Clémentine - Bistrot Terrasse Paris 2,"4,7",€€,Restaurant français,Plats de brasserie français traditionnels et vins régionaux dans un restaurant cosy avec terrasse côté rue.,"5 Rue Saint-Marc, 75002 Paris"
Brasserie Rosie Lou,"4,7",20–30 €,Brasserie,NaN,"31 Bd de Bonne Nouvelle, 75002 Paris"
Le Nom M'échappe,"4,5",€€,Restaurant français,"Steaks grillés, fruits de mer et plats de brasserie raffinés dans un restaurant clair traditionnel doté d'une terrasse côté rue.","28 Rue Notre Dame des Victoires, 75002 Paris"
La Petite Régalade,"4,4",30–50 €,Restaurant français,Restaurant élégant orné de plantes suspendues et spécialisé dans les plats à base de viande et les pascades de l'Aveyron.,"14 Rue Daunou, 75002 Paris"
Fleur de pavé,"4,6",+ de 100 €,Restaurant gastronomique,NaN,"5 Rue Paul Lelong, 75002 Paris"
Le Mesturet,"4,4",30–40 €,Restaurant français,"Restaurant à l'ambiance décontractée proposant des plats locaux tels que du poisson, de la viande et des desserts, ainsi que du vin.","77 Rue de Richelieu, 75002 Paris"
Dalia,"4,6",30–40 €,Restaurant méditerranéen,Restaurant tendance proposant une cuisine inspirée des pays de Méditerranée orientale ainsi que des cocktails.,"93 Rue Montmartre, 75002 Paris"
Pollop,"4,6",€€,Restaurant français,"Cuisine de brasserie contemporaine et créative, mêlant ingrédients français et saveurs d'Extrême-Orient.","15 Rue d'Aboukir, 75002 Paris"
Les Noces de Jeannette,"4,2",€€,Restaurant français,Établissement séculaire chaleureux avec plusieurs salons et cuisine française traditionnelle.,"14 Rue Favart, 75002 Paris"
Comme un Bouillon,"4,5",10–20 €,Restaurant français,NaN,"17 Rue de Choiseul, 75002 Paris"
Restaurant L'Apibo,"4,7",40–50 €,Restaurant français,Restaurant rustique-chic et intimiste proposant des plats de saison raffinés et du vin.,"31 Rue Tiquetonne, 75002 Paris"
Le Galibot,"4,8",20–30 €,Restaurant,"Burgers, bières et plats copieux du Nord de la France dans une taverne cosy décorée d'objets vintage.","17 Rue Paul Lelong, 75002 Paris"
Le Boui-Boui,"4,4",20–30 €,Restaurant français,Restaurant aveyronnais de style bistrot rétro où des spécialités régionales sont servies dans un cadre boisé.,"11 Rue Marie Stuart, 75002 Paris"
Jugaad,"4,4",NaN,Restaurant indien,"Restaurant chic proposant un menu composé de plats indiens gastronomiques, avec un bar à cocktails et des tables côté rue.","16 Rue Favart, 75002 Paris"
ACCENTS table bourse,"4,7",+ de 100 €,Restaurant gastronomique,"Ce restaurant sobre et élégant propose des menus dégustation composés de plats internationaux créatifs, avec accords mets et vins.","24 Rue Feydeau, 75002 Paris"
