name,rating,price,restaurant_type,description,address
Da Alfredo Restaurant Paris 8,"4,7",NaN,Restaurant italien,NaN,"182 Bd Haussmann, 75008 Paris"
Restaurant Super Huit Paris 8,"4,8",50–60 €,Restaurant,NaN,"95 Rue de Miromesnil, 75008 Paris"
Sphère,"4,8",+ de 100 €,Restaurant gastronomique,NaN,"18 Rue La Boétie, 75008 Paris"
Le Marignan,"4,2",NaN,Restaurant,Cette brasserie conviviale aux grandes baies vitrées propose des plats traditionnels en service non-stop.,"18 Rue de Marignan, 75008 Paris"
ONOR par Thierry Marx,"4,8",+ de 100 €,Restaurant gastronomique,NaN,"258 Rue du Faubourg Saint-Honoré, 75008 Paris"
Le Carré Élysée,"4,6",€€,Restaurant français,NaN,"49 Av. Franklin Delano Roosevelt, 75008 Paris"
Le Sens Unique,"4,5",€€,Restaurant français,Restaurant chic avec un bar à vin proposant des boissons et des plats haut de gamme dans un espace luxueux aux murs en briques.,"47 Rue de Ponthieu, 75008 Paris"
NOTO Paris,"3,8",+ de 100 €,Restaurant italien,Table sicilienne élégante et aérée offrant des spécialités des terroirs italiens au dessus de la salle Pleyel.,"252 bis Rue du Faubourg Saint-Honoré, 75008 Paris"
L'Arôme,"4,8",+ de 100 €,Restaurant gastronomique,Cuisine gastronomique créative d'inspiration française avec menu dégustation et accords mets-vins dans une salle chic aux tons beiges.,"3 Rue Saint-Philippe du Roule, 75008 Paris"
L'Annexe Restaurant,"4,8",20–30 €,Restaurant,NaN,"41 Rue de Courcelles, 75008 Paris"
La Table de Lucie,"4,4",20–30 €,Restaurant français,Restaurant de style décontracté avec terrasse proposant des menus variables mettant en valeur les ingrédients frais du marché.,"29 Rue d'Édimbourg, 75008 Paris"
Tosca,"4,8",+ de 100 €,Restaurant italien,NaN,"20 Rue du Cirque, 75008 Paris"
Palais de Courcelles,"4,2",10–20 €,Restaurant chinois,NaN,"79 Bd de Courcelles, 75008 Paris"
Bistro Les 4 Saisons,"4,1",20–30 €,Bistro,Plats du marché à l'ardoise et cuisine traditionnelle dans un bistrot classique aux banquettes en velours.,"268 Rue du Faubourg Saint-Honoré, 75008 Paris"
Restaurant Le Gabriel,"4,6",+ de 100 €,Restaurant gastronomique,"Menus dégustation, et cuisine d'inspiration française à la fois raffinée et innovante, servis dans une salle à manger luxueuse.","42 Av. Gabriel, 75008 Paris"
L'Elysée Saint Honoré,"4,2",€€€,Brasserie,Restaurant élégant décoré de tableaux avec terrasse vitrée et proposant plats français raffinés de brasserie.,"205 Rue du Faubourg Saint-Honoré, 75008 Paris"
Citrus,"4,6",NaN,Restaurant français,Restaurant de style rétro avec patio proposant une cuisine traditionnelle provençale et méditerranéenne.,"52 Rue de Miromesnil, 75008 Paris"
Lupo,"4,9",10–20 €,Restaurant italien,NaN,"22 Rue Washington, 75008 Paris"
Le Mermoz,"4,5",NaN,Bistro,NaN,"16 Rue Jean Mermoz, 75008 Paris"
Le Chiberta,"4,3",+ de 100 €,Restaurant,"Menus de dégustation de plats français créatifs avec accords mets et vins, dans une salle élégante aux accents rouges audacieux.","3 Rue Arsène Houssaye, 75008 Paris"
