name,rating,price,restaurant_type,description,address
Yansai 3 - Restaurant asiatique Paris - Guabao Taiwanais,"4,8",10–20 €,Restaurant asiatique,NaN,"88 Rue des Gravilliers, 75003 Paris"
Yansai 3 - Restaurant asiatique Paris - Guabao Taiwanais,"4,8",10–20 €,Restaurant asiatique,NaN,"88 Rue des Gravilliers, 75003 Paris"
Au Fil des Saisons,"4,4",30–40 €,Restaurant français,"Restaurant chaleureux doté de murs en pierres apparentes et d'un patio, et proposant des plats traditionnels à base de produits de saison.","6 Rue des Fontaines du Temple, 75003 Paris"
Robert et Louise,"4,5",€€,Restaurant,"Steak, confit de canard et carte étoffée de vins dans un restaurant de style détendu aux poutres apparentes et aux murs en pierre.","64 Rue Vieille du Temple, 75003 Paris"
Les Enfants Rouges,"4,5",€€,Cuisine française moderne,Brasserie moderne proposant des plats français classiques aux influences japonaises soigneusement présentés.,"9 Rue de Beauce, 75003 Paris"
Restaurant L'Oyat,"4,7",NaN,Restaurant français,NaN,"11 Rue Notre Dame de Nazareth, 75003 Paris"
Lucky Paris 3 - 人间烟火,"4,9",10–20 €,Restaurant asiatique,NaN,"47 Rue au Maire, 75003 Paris"
ORTO,"4,6",10–20 €,Restaurant italien,"Restaurant cosy à l'ambiance détendue décoré dans un style simple, proposant des sandwichs élaborés à partir de pain ""ciabatta"".","75 Rue des Gravilliers, 75003 Paris"
Le Marais Restaurant Paris,"4,5",20–30 €,Restaurant méditerranéen,"Steaks haut de gamme, burgers, salades, desserts, bières et vins proposés dans un restaurant à l'ambiance détendue doté d'une cour.","47 R. de Turbigo, 75003 Paris"
Terra,"4,6",NaN,Restaurant,Restaurant branché ouvert en soirée proposant assiettes haut de gamme à partager et vins naturels.,"21 Rue des Gravilliers, 75003 Paris"
Dessance,"4,6",+ de 100 €,Restaurant gastronomique,"Brasserie chic réputée pour sa cuisine gastronomique innovante, proposant des menus dégustation et des accords mets-vins.","74 Rue des Archives, 75003 Paris"
Le MaZenay,"4,6",€€€,Restaurant français,"Plats français à base de produits locaux et de saison, servis dans un cadre sophistiqué.","46 Rue de Montmorency, 75003 Paris"
Elmer,"4,6",+ de 100 €,Restaurant français,"Menus régionaux raffinés composés d'ingrédients et de vins locaux, servis dans un restaurant moderne doté d'une cuisine ouverte.","30 Rue Notre Dame de Nazareth, 75003 Paris"
Balou Paris 3,"4,7",10–20 €,Bar à tapas,NaN,"9-11 Rue aux Ours, 75003 Paris"
Camille,"4,3",€€,Restaurant français,"Bar-brasserie intimiste à l'ambiance détendue célèbre pour son canard, ses steaks et ses cocktails. Terrasse côté rue.","24 Rue des Francs Bourgeois, 75003 Paris"
