name,rating,price,restaurant_type,description,address
L'Aubergeade,"4,8",30–40 €,Restaurant,Brasserie typique et cosy proposant des plats français traditionnels comme le steak tartare et des plats de poissons/fruits de mer.,"17 Rue Chaligny, 75012 Paris"
Virtus,"4,8",+ de 100 €,Restaurant gastronomique,"Restaurant branché au décor vintage proposant des menus dégustation innovants et raffinés, et du vin.","29 Rue de Cotte, 75012 Paris"
L'Alchimiste,"4,7",20–30 €,Restaurant français,"Cuisine française créative dans une ambiance bistro, avec luminaires Art nouveau et grandes ardoises murales.","181 Rue de Charenton, 75012 Paris"
L'Ébauchoir,"4,7",€€,Bistro,Plats français revisités de manière créative et vaste carte des vins dans une brasserie simple avec terrasse côté rue.,"43-45 Rue de Cîteaux, 75012 Paris"
La Cantine de daumesnil - restaurant paris 12,"4,3",20–30 €,Restaurant,NaN,"119 Rue de Reuilly, 75012 Paris"
Les affranchis,"4,5",20–30 €,Restaurant,"Brasserie au charme d'antan avec terrasse, proposant des plats de saison typiques et des offres pour les happy hours.","14 Av. Daumesnil, 75012 Paris"
amarante restaurant paris 75012,"4,6",NaN,Restaurant français,"Ce restaurant sobre sert des spécialités de brasserie, ainsi que des plats français traditionnels à base de porc et de veau.","4 Rue Biscornet, 75012 Paris"
Le Picotin,"4,5",20–40 €,Restaurant français,"Cuisine traditionnelle servie dans un cadre chaleureux et décontracté, avec fresque murale pittoresque et concerts de jazz hebdomadaires.","35 Rue Sibuet, 75012 Paris"
À la Biche au Bois,"4,5",40–50 €,Restaurant français,"Plats traditionnels français, tels que terrine et poulet braisé, servis dans une ambiance détendue.","45 Av. Ledru Rollin, 75012 Paris"
Nous4 | Cuisine Bistronomique,"4,7",€€,Restaurant français,NaN,"3 Rue Beccaria, 75012 Paris"
Bistro Lyonnais,"4,4",20–30 €,Restaurant français,"Établissement simple avec tables côté rue, servant des steaks-frites, de la charcuterie, des pâtes et des cocktails.","6 Rue Michel Chasles, 75012 Paris"
TOWA Restaurant,"4,8",€€,Restaurant français,"Restaurant simple proposant des plats et des desserts locaux créatifs avec une touche japonaise, ainsi que du vin.","75 Rue Crozatier, 75012 Paris"
CHARLETPERRIN,"4,4",20–30 €,Restaurant français,Spécialités françaises dont des tartares et du confit de canard servies dans une brasserie décontractée doté d'une terrasse.,"17 Rue Michel Chasles, 75012 Paris"
Le 217 Brasserie Restaurant,"4,7",20–30 €,Restaurant,NaN,"217 Av. Daumesnil, 75012 Paris"
Le Touareg,"4,6",20–30 €,Restaurant algérien,"Couscous, tajines, plats kabyles et vins du Maghreb dans une salle chaleureuse aux murs de pierres apparentes.","228 Rue de Charenton, 75012 Paris"
Le Singe À Paris,"4,6",€€,Restaurant français,NaN,"40 Rue Traversière, 75012 Paris"
La Promenade,"4,4",20–30 €,Brasserie,"Cette brasserie décorée de plantes suspendues et dotée d'une terrasse sert charcuterie, burgers, grillades et plats végétariens.","32 Av. Daumesnil, 75012 Paris"
Au Métro,"4,1",€€,Brasserie,Vaste restaurant-bar avec grande terrasse servant fruits de mer et plats du jour dans un décor de brasserie.,"8 Pl. Félix Eboué, 75012 Paris"
Le Chasséen,"4,7",20–30 €,Restaurant français,NaN,"6 Rue Crozatier, 75012 Paris"
Le Quincy,"4,4",€€€,Restaurant français,Spécialités régionales françaises et ambiance décontractée dans un décor rustique avec nappes en vichy rose.,"28 Av. Ledru Rollin, 75012 Paris"
