name,rating,price,restaurant_type,description,address
SOURIRE le restaurant,"4,7",+ de 100 €,Restaurant gastronomique,Ce restaurant sert une cuisine française raffinée dans une salle chic et moderne rehaussée de velours bleu.,"15 Rue de la Santé, 75013 Paris"
Under The Sea Restaurant - Ephemera,"4,7",20–40 €,Restaurant,"Spectaculaire restaurant branché inspiré des fonds marins, servant des plats de poissons/fruits de mer du monde et des cocktails.","160 Av. de France, 75013 Paris"
Chez Gladines Butte aux Cailles,"4,4",20–30 €,Restaurant basque,"Plats mijotés, escalopes et autres mets rustiques originaires du sud-ouest de la France, proposés dans une salle à manger cosy.","30 Rue des cinq Diamants, 75013 Paris"
SOURIRE le restaurant,"4,7",+ de 100 €,Restaurant gastronomique,Ce restaurant sert une cuisine française raffinée dans une salle chic et moderne rehaussée de velours bleu.,"15 Rue de la Santé, 75013 Paris"
Chào bà restaurant,"4,7",20–30 €,Restaurant vietnamien,"Restaurant vietnamien au cadre détendu servant des plats classiques (rouleaux de printemps, soupe phở, bún bò Huế, bún chả, etc.).","14 Rue Coypel, 75013 Paris"
Chez Papa 13,"4,2",20–30 €,Restaurant de spécialités du sud-ouest de la France,Spécialités basques dans un cadre convivial décoré de mobilier et de murs en bois et de piments suspendus.,"27 Rue de la Colonie, 75013 Paris"
L'Hommage,"4,8",€€,Restaurant,"Plats créatifs bien présentés, à base d'ingrédients du monde entier, servis dans une salle contemporaine aux murs peints en blanc.","36 Av. de Choisy, 75013 Paris"
Comme à la campagne,"4,6",€€,Restaurant français,Cuisine de saison proposée dans un charmant restaurant à l'atmosphère provinciale doté d'une terrasse en extérieur.,"41 Pl. Jeanne d'Arc, 75013 Paris"
Au Petit Marguery,"4,1",€€,Restaurant français,"Plats classiques dans un cadre 1900 orné de fresques Belle Époque, d'appliques fleuries et de boiseries.","9 Bd de Port-Royal, 75013 Paris"
Chez Trassoudaine,"4,8",€€€,Restaurant français,"Mets de poisson en saison et steaks copieux dans un restaurant lumineux, chaleureux et orné de nombreuses plantes.","3 Pl. nationale, 75013 Paris"
"Simone, Le Resto...","4,8",€€,Restaurant gastronomique,Plats de brasserie classiques présentés de façon créative et menus dégustation raffinés dans un restaurant élégant avec terrasse.,"33 Bd Arago, 75013 Paris"
Pho 13,"4,1",10–20 €,Restaurant vietnamien,"Rouleaux de printemps vietnamiens classiques, nouilles sautées et currys épicés servis dans un restaurant sobre et moderne.","66-68 Av. d'Ivry, 75013 Paris"
Milord,"4,8",€€,Restaurant,NaN,"12 Rue de Tolbiac, 75013 Paris"
Chez Nathalie,"4,4",30–40 €,Restaurant,Plats raffinés de viande et de poisson associés à des vins et servis dans une salle lumineuse ou sur une terrasse côté rue.,"45 Rue Vandrezanne, 75013 Paris"
Restaurant Lao Lane Xang,"4,3",20–30 €,Restaurant laotien,"Nombreux plats laotiens, thaïlandais et vietnamiens faits maison, servis dans une petite salle au cadre cosy.","102 Av. d'Ivry, 75013 Paris"
Restaurant 13 Sens Lounge,"4,8",20–30 €,Restaurant,NaN,"Av. Joseph Bédier, 75013 Paris"
Comme au Vietnam,"4,4",20–30 €,Restaurant vietnamien,"Restaurant contemporain orné de photos et de plantes vertes, qui propose des spécialités vietnamiennes.","195 Av. de Choisy, 75013 Paris"
Virgule,"4,5",€€,Restaurant français,"Ce restaurant de quartier, orné de rideaux à mi-hauteur, prépare une cuisine française traditionnelle.","9 Rue Véronèse, 75013 Paris"
Tadam,"4,7",30–50 €,Restaurant français,Restaurant intimiste servant une cuisine française créative à base d'ingrédients de saison et des vins sélectionnés avec soin.,"14 Rue du Jura, 75013 Paris"
Au Petit Village,"4,7",20–30 €,Restaurant,"Couscous revisité, pâtisseries orientales et thé vert dans un restaurant cosy à l'ambiance décontractée.","6 Rue Coypel, 75013 Paris"
