name,rating,price,restaurant_type,description,address
Mieux,"4,7",NaN,Restaurant,"Restaurant rustique-chic à l'ambiance détendue et à l'approvisionnement responsable, proposant des plats et des vins.","21 Rue Saint-Lazare, 75009 Paris"
Les Saisons,"4,7",€€,Restaurant français,"Restaurant cozy et lumineux proposant des plats classiques, de la viande et une vaste sélection de vins.","52 Rue Lamartine, 75009 Paris"
Poppy Paris,"4,6",20–30 €,Restaurant brunch,NaN,"2 Rue Milton, 75009 Paris"
La Padellina,"4,8",20–30 €,Restaurant italien,NaN,"1 Rue Chaptal, 75009 Paris"
Passionné,"4,7",+ de 100 €,Restaurant gastronomique,NaN,"17 Rue Bergère, 75009 Paris"
Lou Cantou,"4,6",20–30 €,Restaurant français,Vins et spécialités françaises dans un bistrot pittoresque à l'ambiance rétro. Terrasse côté rue et approvisionnement responsable.,"35 Cité d'Antin, 75009 Paris"
Chez Yvette - Restaurant paris 9,"4,9",30–40 €,Restaurant,NaN,"47 Av. Trudaine, 75009 Paris"
Chez Delphine,"4,7",30–40 €,Restaurant français,NaN,"48 Rue Saint-Georges, 75009 Paris"
Le Bon Georges,"4,5",+ de 100 €,Restaurant,NaN,"45 Rue Saint-Georges, 75009 Paris"
L'Eden - Restaurant Paris 9,"4,0",20–30 €,Brasserie,"Brasserie classique avec tables en bois et bar en zinc incurvé, proposant des plats français traditionnels.","43 Rue de la Chau. d'Antin, 75009 Paris"
Jeanne-Aimée,"4,8",NaN,Restaurant,NaN,"3 Rue Bourdaloue, 75009 Paris"
Le Comptoir Boutary,"4,8",NaN,Restaurant français,NaN,"32 Rue Catherine de la Rochefoucauld, 75009 Paris"
Caillebotte,"4,6",€€,Restaurant français,"Plats français classiques de brasserie à la présentation artistique, dans un cadre clair et contemporain.","8 Rue Hippolyte Lebas, 75009 Paris"
La Table des Anges,"4,5",40–50 €,Restaurant français,Cuisine française de brasserie à la présentation créative et vins régionaux servis dans un espace simple.,"66 R. des Martyrs, 75009 Paris"
Restaurant L'Évadé Bistronomie Paris 9,"4,8",NaN,Restaurant,NaN,"23 Rue Clauzel, 75009 Paris"
Bistrot Rougemont,"4,7",€€,Restaurant français,Bistro simple aux intérieurs chics qui propose un menu de cuisine traditionnelle de saison.,"10 Rue Rougemont, 75009 Paris"
Restaurant La Petite Charlotte,"4,8",20–30 €,Restaurant,NaN,"47 Rue Notre Dame de Lorette, 75009 Paris"
Bourgogne Sud,"4,5",30–40 €,Restaurant français,"Établissement sobre et élégant proposant foie gras, tartare, bœuf bourguignon et vins de Bourgogne.","14 Rue de Clichy, 75009 Paris"
Restaurant franco-italien Il Cuoco Galante - Paris 9,"4,6",NaN,Restaurant français,Ce restaurant sobre et chic aux tons bleus sert des pâtes fraîche et des produits du terroir italien.,"36 Rue Condorcet, 75009 Paris"
Au Petit Riche,"4,5",€€€,Restaurant français,Brasserie d'époque avec salons privés servant des spécialités françaises et des vins de la vallée de la Loire.,"25 Rue Le Peletier, 75009 Paris"
